Neuron,URL
BAGR,https://www.wormatlas.org/neurons/Individual%20Neurons/BAGframeset.html
BDUL,https://www.wormatlas.org/neurons/Individual%20Neurons/BDUframeset.html
BDUR,https://www.wormatlas.org/neurons/Individual%20Neurons/BDUframeset.html
CA1,https://www.wormatlas.org/neurons/Individual%20Neurons/CAframeset.html
CA2,https://www.wormatlas.org/neurons/Individual%20Neurons/CAframeset.html
CA3,https://www.wormatlas.org/neurons/Individual%20Neurons/CAframeset.html
CA4,https://www.wormatlas.org/neurons/Individual%20Neurons/CAframeset.html
CA5,https://www.wormatlas.org/neurons/Individual%20Neurons/CAframeset.html
CA6,https://www.wormatlas.org/neurons/Individual%20Neurons/CAframeset.html
CA7,https://www.wormatlas.org/neurons/Individual%20Neurons/CAframeset.html
CA8,https://www.wormatlas.org/neurons/Individual%20Neurons/CAframeset.html
CA9,https://www.wormatlas.org/neurons/Individual%20Neurons/CAframeset.html
CANL,https://www.wormatlas.org/neurons/Individual%20Neurons/CANframeset.html
CANR,https://www.wormatlas.org/neurons/Individual%20Neurons/CANframeset.html
CEMDL,https://www.wormatlas.org/neurons/Individual%20Neurons/CEMframeset.html
CEMDR,https://www.wormatlas.org/neurons/Individual%20Neurons/CEMframeset.html
CEMVL,https://www.wormatlas.org/neurons/Individual%20Neurons/CEMframeset.html
CEMVR,https://www.wormatlas.org/neurons/Individual%20Neurons/CEMframeset.html
CEPDL,https://www.wormatlas.org/neurons/Individual%20Neurons/CEPframeset.html
CEPDR,https://www.wormatlas.org/neurons/Individual%20Neurons/CEPframeset.html
CEPVL,https://www.wormatlas.org/neurons/Individual%20Neurons/CEPframeset.html
CEPVR,https://www.wormatlas.org/neurons/Individual%20Neurons/CEPframeset.html
CP0,https://www.wormatlas.org/neurons/Individual%20Neurons/CPframeset.html
CP1,https://www.wormatlas.org/neurons/Individual%20Neurons/CPframeset.html
CP2,https://www.wormatlas.org/neurons/Individual%20Neurons/CPframeset.html
CP3,https://www.wormatlas.org/neurons/Individual%20Neurons/CPframeset.html
CP4,https://www.wormatlas.org/neurons/Individual%20Neurons/CPframeset.html
CP5,https://www.wormatlas.org/neurons/Individual%20Neurons/CPframeset.html
CP6,https://www.wormatlas.org/neurons/Individual%20Neurons/CPframeset.html
CP7,https://www.wormatlas.org/neurons/Individual%20Neurons/CPframeset.html
CP8,https://www.wormatlas.org/neurons/Individual%20Neurons/CPframeset.html
CP9,https://www.wormatlas.org/neurons/Individual%20Neurons/CPframeset.html
DA1,https://www.wormatlas.org/neurons/Individual%20Neurons/DAframeset.html
DA2,https://www.wormatlas.org/neurons/Individual%20Neurons/DAframeset.html
DA3,https://www.wormatlas.org/neurons/Individual%20Neurons/DAframeset.html
DA4,https://www.wormatlas.org/neurons/Individual%20Neurons/DAframeset.html
DA5,https://www.wormatlas.org/neurons/Individual%20Neurons/DAframeset.html
DA6,https://www.wormatlas.org/neurons/Individual%20Neurons/DAframeset.html
DA7,https://www.wormatlas.org/neurons/Individual%20Neurons/DAframeset.html
DA8,https://www.wormatlas.org/neurons/Individual%20Neurons/DAframeset.html
DA9,https://www.wormatlas.org/neurons/Individual%20Neurons/DAframeset.html
DB1/3,https://www.wormatlas.org/neurons/Individual%20Neurons/DBframeset.html
DB2,https://www.wormatlas.org/neurons/Individual%20Neurons/DBframeset.html
DB3/1,https://www.wormatlas.org/neurons/Individual%20Neurons/DBframeset.html
DB4,https://www.wormatlas.org/neurons/Individual%20Neurons/DBframeset.html
DB5,https://www.wormatlas.org/neurons/Individual%20Neurons/DBframeset.html
DB6,https://www.wormatlas.org/neurons/Individual%20Neurons/DBframeset.html
DB7,https://www.wormatlas.org/neurons/Individual%20Neurons/DBframeset.html
DD1,https://www.wormatlas.org/neurons/Individual%20Neurons/DDframeset.html
DD2,https://www.wormatlas.org/neurons/Individual%20Neurons/DDframeset.html
DD3,https://www.wormatlas.org/neurons/Individual%20Neurons/DDframeset.html
DD4,https://www.wormatlas.org/neurons/Individual%20Neurons/DDframeset.html
DD5,https://www.wormatlas.org/neurons/Individual%20Neurons/DDframeset.html
DD6,https://www.wormatlas.org/neurons/Individual%20Neurons/DDframeset.html
DVA,https://www.wormatlas.org/neurons/Individual%20Neurons/DVAframeset.html
DVB,https://www.wormatlas.org/neurons/Individual%20Neurons/DVBframeset.html
DVC,https://www.wormatlas.org/neurons/Individual%20Neurons/DVCframeset.html
DVE,https://www.wormatlas.org/neurons/Individual%20Neurons/DVEframeset.html
